t,memfree_kB,memavail_kB,slab_kB,sunreclaim_kB,sreclaim_kB,cached_kB,n2h_pool,pbuf_def_free,pbuf_def_total,payload_fails,loadavg
1766557573,13104,65112,59276,51016,8260,53612,4096,6692,14884,99,1.07
1766557574,13168,65128,59276,51016,8260,53612,4096,6692,14884,99,1.15
1766557575,12856,64912,59276,51016,8260,53612,4096,6692,14884,99,1.15
1766557576,12912,64880,59276,51016,8260,53612,4096,6692,14884,99,1.15
1766557577,12972,65004,59276,51016,8260,53612,4096,6692,14884,99,1.15
1766557578,12992,65000,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557579,13068,65076,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557580,12888,64896,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557581,12932,64940,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557582,12992,65000,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557583,13052,65060,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557585,13152,65160,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557586,12928,64896,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557587,12912,64920,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557588,12912,64920,59276,51016,8260,53612,4096,6692,14884,99,1.05
1766557589,12972,64980,59276,51016,8260,53612,4096,6692,14884,99,0.97
1766557590,12992,65048,59276,51016,8260,53612,4096,6692,14884,99,0.97
1766557591,12932,64940,59276,51016,8260,53612,4096,6692,14884,99,0.97
1766557592,12972,64932,59276,51016,8260,53612,4096,6692,14884,99,0.97
1766557593,12972,64940,59276,51016,8260,53612,4096,6692,14884,99,0.97
1766557594,12964,64972,59276,51016,8260,53612,4096,6692,14884,99,0.97
1766557595,12924,65016,59276,51016,8260,53612,4096,6692,14884,99,0.97
1766557596,12864,64872,59280,51020,8260,53612,4096,6692,14884,99,0.97
1766557597,12984,64992,59280,51020,8260,53612,4096,6692,14884,99,0.97
1766557598,13092,65100,59280,51020,8260,53612,4096,6692,14884,99,0.89
1766557600,13156,65160,59280,51020,8260,53612,4096,6692,14884,99,0.89
1766557601,12776,64784,59280,51020,8260,53612,4096,6692,14884,99,0.89
1766557602,12888,64932,59280,51020,8260,53612,4096,6692,14884,99,0.89
1766557603,12972,64980,59280,51020,8260,53612,4096,6692,14884,99,0.89
1766557604,13032,64992,59280,51020,8260,53612,4096,6692,14884,99,0.98
1766557605,13076,65160,59280,51020,8260,53612,4096,6692,14884,99,0.98
1766557606,12676,64720,59280,51020,8260,53612,4096,6692,14884,99,0.98
1766557607,12932,64940,59280,51020,8260,53612,4096,6692,14884,99,0.98
1766557608,13032,64992,59280,51020,8260,53612,4096,6692,14884,99,0.90
1766557609,13032,64992,59280,51020,8260,53612,4096,6692,14884,99,0.90
1766557610,12964,64932,59276,51016,8260,53612,4096,6692,14884,99,0.90
1766557611,12988,64956,59276,51016,8260,53612,4096,6692,14884,99,0.90
1766557612,12912,64920,59276,51016,8260,53612,4096,6692,14884,99,0.90
1766557614,12972,64932,59276,51016,8260,53612,4096,6692,14884,99,0.91
1766557615,12972,64980,59276,51016,8260,53612,4096,6692,14884,99,0.91
1766557616,13108,65068,59276,51016,8260,53612,4096,6692,14884,99,0.91
1766557617,12888,64888,59276,51016,8260,53612,4096,6692,14884,99,0.91
1766557618,12932,64940,59276,51016,8260,53612,4096,6692,14884,99,0.91
1766557619,13008,65056,59276,51016,8260,53612,4096,6692,14884,99,0.84
1766557620,13032,64992,59276,51016,8260,53612,4096,6692,14884,99,0.84
1766557621,12872,64964,59276,51016,8260,53612,4096,6692,14884,99,0.84
1766557622,12896,64856,59284,51024,8260,53612,4096,6692,14884,99,0.84
1766557623,12940,64948,59284,51024,8260,53612,4096,6692,14884,99,1.01
